,stock_code,maximum_drawdown,maximum_drawdown_percentage,rate,gain,stop,annualized_returns
163,WIN,-20023.180100000092,-32.19646509244135,40.85106382978723,0.8500000000000003,0.25000000000000006,33.24990034181907
164,PETR4,-37575.873365,-40.822486686550455,39.346590909090914,0.9000000000000004,0.25000000000000006,30.87888107739092
165,VALE3,-37366.27879000004,-59.282680759934706,41.14977307110439,0.9000000000000004,0.25000000000000006,31.85025691692609
166,WDO,-20460.442499999954,-33.782886984940944,39.88183161004431,0.9000000000000004,0.25000000000000006,17.727460632097646
167,WIN,-23732.938500000113,-38.36553980535237,40.629470672389125,0.9000000000000004,0.25000000000000006,30.025888952794876
168,PETR4,-40195.721307000196,-55.825832839330594,38.91273247496424,0.9500000000000004,0.25000000000000006,19.575657937418423
169,VALE3,-37104.213291000044,-59.08086128650518,40.94368340943683,0.9500000000000004,0.25000000000000006,35.392535194289174
170,WDO,-22862.177499999656,-34.64511474443243,39.46587537091988,0.9500000000000004,0.25000000000000006,16.05503072173309
171,WIN,-21806.745900000133,-34.21011752318696,40.257879656160455,0.9500000000000004,0.25000000000000006,29.888878247013118
172,PETR4,-37575.873365000014,-49.732106161924435,38.737446197991396,1.0000000000000004,0.25000000000000006,23.94575916836079
173,VALE3,-38451.370926000025,-61.899120346942574,40.97859327217125,1.0000000000000004,0.25000000000000006,36.74988654452294
174,WDO,-24555.98249999962,-34.40396255799832,39.195230998509686,1.0000000000000004,0.25000000000000006,14.287368784054655
175,WIN,-21680.733300000116,-33.92218040620449,40.14388489208633,1.0000000000000004,0.25000000000000006,30.41746786556525
176,PETR4,-42033.296243000004,-59.13493281057449,43.40878828229028,0.5,0.30000000000000004,4.241090521547353
177,VALE3,-32425.240305999978,-52.20689809953573,46.49859943977591,0.5,0.30000000000000004,28.171011152846038
178,WDO,-20729.132499999745,-29.431899926133887,45.44198895027624,0.5,0.30000000000000004,27.48259382857139
179,WIN,-17332.71860000011,-25.115612113467485,44.3089430894309,0.5,0.30000000000000004,19.615628178407253
180,PETR4,-45212.847303999995,-64.78618276223676,43.126684636118604,0.55,0.30000000000000004,1.99212221820102
181,VALE3,-32662.698774000004,-48.26697963113171,45.93437945791726,0.55,0.30000000000000004,30.887362251112194
182,WDO,-20521.40499999994,-32.773411371937996,44.86638537271448,0.55,0.30000000000000004,23.631791387430233
183,WIN,-17144.635400000116,-27.65641937822417,44.18604651162791,0.55,0.30000000000000004,18.806496909750827
184,PETR4,-44394.72411099999,-60.62741593924519,42.62295081967213,0.6000000000000001,0.30000000000000004,7.20068501964739
